book_name,score,num,picturelink,publisher,publishyear,ISBN
        枪炮、病菌与钢铁      ,8.9,2507,https://img1.doubanio.com/view/subject/l/public/s1041419.jpg, 上海译文出版社,2000,9.79E+12
        小兔彼得和他的朋友们全3册      ,9,1311,https://img1.doubanio.com/view/subject/l/public/s4042908.jpg, 安徽教育出版社,2009,9.79E+12
        鼠族一、二部      ,9.2,1672,https://img9.doubanio.com/view/subject/l/public/s4127826.jpg, 陕西师范大学出版社,2009,9.79E+12
        原动画基础教程      ,9.6,1605,https://img3.doubanio.com/view/subject/l/public/s2012844.jpg, 中国青年出版社,2006,9.79E+12
        中国史纲      ,9.1,1755,https://img9.doubanio.com/view/subject/l/public/s10170776.jpg, 上海古籍出版社,1999,9.79E+12
        美国讲稿      ,9,1221,https://img1.doubanio.com/view/subject/l/public/s3006149.jpg, 译林出版社,2008,9.79E+12
        精灵宝钻      ,9.2,1450,https://img3.doubanio.com/view/subject/l/public/s10596211.jpg, 译林出版社,2012,9.79E+12
        第二性Ⅱ      ,9.3,3267,https://img1.doubanio.com/view/subject/l/public/s6927618.jpg, 上海译文出版社,2011,9.79E+12
        隔江山色      ,9,1443,https://img3.doubanio.com/view/subject/l/public/s3934655.jpg, 生活·读书·新知三联书店,2009,9.79E+12
        大江东去共三部      ,8.9,5198,https://img3.doubanio.com/view/subject/l/public/s23593181.jpg, 长江文艺出版社,2009,9.79E+12
        半生缘      ,9.1,9188,https://img1.doubanio.com/view/subject/l/public/s10199588.jpg, 北京十月文艺出版社,2012,9.79E+12
        夜莺与玫瑰      ,9.2,1548,https://img1.doubanio.com/view/subject/l/public/s4296928.jpg, 外语教学与研究出版社,2010,9.79E+12
        金锁记      ,9.1,2251,https://img1.doubanio.com/view/subject/l/public/s1441609.jpg, 哈尔滨出版社,2005,9.79E+12
        勒·柯布西耶全集      ,9.3,1315,https://img3.doubanio.com/view/subject/l/public/s1399745.jpg, 中国建筑工业出版社,2005,9.79E+12
1453,9,4687,https://img3.doubanio.com/view/subject/l/public/s28039740.jpg, 社会科学文献出版社·甲骨文,2014,9.79E+12
        悲惨世界全三册      ,9.3,2939,https://img9.doubanio.com/view/subject/l/public/s4604906.jpg, 人民文学出版社,2003,9.79E+12
        编码      ,9.2,2866,https://img3.doubanio.com/view/subject/l/public/s4379914.jpg, 电子工业出版社,2010,9.79E+12
        古文观止      ,9.2,1258,https://img3.doubanio.com/view/subject/l/public/s2951515.jpg, 中华书局,1959,NULL
        说文解字      ,9.2,1760,https://img3.doubanio.com/view/subject/l/public/s1026024.jpg, 中华书局,1963,9.79E+12
        冰与火之歌·卷三·冰雨的风暴全三册      ,9.6,4718,https://img3.doubanio.com/view/subject/l/public/s10215071.jpg, 重庆出版社,2012,9.79E+12
        亲密关系      ,9,8770,https://img1.doubanio.com/view/subject/l/public/s4643548.jpg, 人民邮电出版社,2011,9.79E+12
        对伪心理学说不      ,9.2,4060,https://img1.doubanio.com/view/subject/l/public/s7649177.jpg, 人民邮电出版社,2012,9.79E+12
        我要做好孩子      ,9.1,1514,https://img3.doubanio.com/view/subject/l/public/s4107891.jpg, 江苏少年儿童出版社,1996,9.79E+12
        北方的空地      ,9.1,2325,https://img1.doubanio.com/view/subject/l/public/s6778118.jpg, 重庆出版社,2011,9.79E+12
        古拉格：一部历史      ,9.2,1996,https://img3.doubanio.com/view/subject/l/public/s26016760.jpg, 新星出版社,2013,9.79E+12
        皮皮鲁和鲁西西全传      ,9.3,1875,https://img9.doubanio.com/view/subject/l/public/s2745356.jpg, 四川少年儿童出版社,1989,9.79E+12
        失明症漫记      ,9,7602,https://img1.doubanio.com/view/subject/l/public/s27217828.jpg, 南海出版公司,2014,9.79E+12
        来自新世界 上下      ,9,6091,https://img1.doubanio.com/view/subject/l/public/s27251177.jpg, 上海译文出版社,2014,9.79E+12
        永恒的终结      ,9,19702,https://img3.doubanio.com/view/subject/l/public/s29555070.jpg, 江苏文艺出版社,2014,9.79E+12
        听音乐插图第6版      ,9.1,1391,https://img9.doubanio.com/view/subject/l/public/s3118506.jpg, 世界图书出版公司,2008,9.79E+12
        人类的群星闪耀时增订版      ,8.9,6816,https://img3.doubanio.com/view/subject/l/public/s24946251.jpg, 生活·读书·新知三联书店,2009,9.79E+12
        美的历程      ,9.2,11979,https://img3.doubanio.com/view/subject/l/public/s3893343.jpg, 生活·读书·新知三联书店,2009,9.79E+12
        众病之王      ,9.1,6645,https://img1.doubanio.com/view/subject/l/public/s24598159.jpg, 中信出版社,2013,9.79E+12
        人类简史      ,9.1,102847,https://img3.doubanio.com/view/subject/l/public/s27814883.jpg, 中信出版社,2014,9.79E+12
        最好的告别      ,9,18748,https://img3.doubanio.com/view/subject/l/public/s28355811.jpg, 浙江人民出版社,2015,9.79E+12
        强风吹拂      ,9,7984,https://img1.doubanio.com/view/subject/l/public/s27914268.jpg, 广西师范大学出版社,2016,9.79E+12
        火星救援      ,8.9,11031,https://img3.doubanio.com/view/subject/l/public/s28315660.jpg, 译林出版社,2015,9.79E+12
        文明之光第一册      ,9,3981,https://img1.doubanio.com/view/subject/l/public/s27307487.jpg, 人民邮电出版社,2014,9.79E+12
        四書章句集注      ,9.3,2203,https://img3.doubanio.com/view/subject/l/public/s32314514.jpg, 中华书局,1983,9.79E+12
        大盗贼      ,9.2,1304,https://img3.doubanio.com/view/subject/l/public/s1694523.jpg, 二十一世纪出版社,2004,9.79E+12
        霸王别姬      ,9.1,9289,https://img9.doubanio.com/view/subject/l/public/s24964086.jpg, 人民文学出版社,1999,9.79E+12
        重构      ,9,2052,https://img3.doubanio.com/view/subject/l/public/s1669771.jpg, 中国电力出版社,2003,9.79E+12
        易经      ,9,2034,https://img3.doubanio.com/view/subject/l/public/s2158672.jpg, 吉林文史出版社,2006,9.79E+12
        编程珠玑      ,9.1,2022,https://img3.doubanio.com/view/subject/l/public/s4687321.jpg, 人民邮电出版社,2008,9.79E+12
        宋词三百首      ,9.4,2675,https://img3.doubanio.com/view/subject/l/public/s1131431.jpg, 人民文学出版社,2004,9.79E+12
        战国策      ,9.1,1660,https://img3.doubanio.com/view/subject/l/public/s1587941.jpg, 山西古籍出版社,2003,9.79E+12
        敏捷软件开发      ,9,1372,https://img3.doubanio.com/view/subject/l/public/s1671095.jpg, 清华大学出版社,2003,9.79E+12
        牡丹亭      ,9,7566,https://img3.doubanio.com/view/subject/l/public/s1075414.jpg, 人民文学出版社,1963,9.79E+12
        宋词鉴赏辞典      ,9.4,1802,https://img3.doubanio.com/view/subject/l/public/s1367641.jpg, 上海辞书出版社,2003,9.79E+12
        老子注译及评介      ,9.2,2018,https://img1.doubanio.com/view/subject/l/public/s4011419.jpg, 中华书局,2009,9.79E+12
        中国古典园林分析      ,9.1,1844,https://img3.doubanio.com/view/subject/l/public/s1301823.jpg, 建筑工业出版社,1986,9.79E+12
        外部空间设计      ,9,1730,https://img3.doubanio.com/view/subject/l/public/s2146414.jpg, 中国建筑工业出版社,1985,9.79E+12
        莎士比亚全集全8册      ,9.4,2045,https://img3.doubanio.com/view/subject/l/public/s1540102.jpg, 译林出版社,1998,9.79E+12
        津巴多普通心理学      ,9.4,1799,https://img1.doubanio.com/view/subject/l/public/s3419538.jpg, 中国人民大学出版社,2008,9.79E+12
        Head First 设计模式中文版      ,9.2,2925,https://img9.doubanio.com/view/subject/l/public/s2686916.jpg, 中国电力出版社,2007,9.79E+12
        天龙八部      ,9.1,87216,https://img1.doubanio.com/view/subject/l/public/s23632058.jpg, 生活.读书.新知三联书店,1994,9.79E+12
        古文观止      ,9.1,11512,https://img3.doubanio.com/view/subject/l/public/s1325863.jpg, 中华书局,1987,9.79E+12
        计算机程序的构造和解释原书第2版      ,9.5,2235,https://img9.doubanio.com/view/subject/l/public/s1113106.jpg, 机械工业出版社,2004,9.79E+12
