book_name,score,num,picturelink,publisher,publishyear,ISBN,rank
        永恒的终结      ,9,19702,https://img3.doubanio.com/view/subject/l/public/s29555070.jpg, 江苏文艺出版社,2014 ,9787539957173 ,22459 
        众病之王      ,9.1,6645,https://img1.doubanio.com/view/subject/l/public/s24598159.jpg, 中信出版社,2013 ,9787508638119 ,21838 
        人类简史      ,9.1,102847,https://img3.doubanio.com/view/subject/l/public/s27814883.jpg, 中信出版社,2014 ,9787508647357 ,21792 
        阿城精选集      ,9.1,5592,https://img3.doubanio.com/view/subject/l/public/s8963180.jpg, 北京燕山出版社,2011 ,9787540217792 ,21613 
        蒋勋说红楼梦第一辑      ,8.9,5953,https://img3.doubanio.com/view/subject/l/public/s6216343.jpg, 上海三联书店,2010 ,9787542632791 ,19642 
        逻辑哲学论      ,9.2,2259,https://img3.doubanio.com/view/subject/l/public/s2704503.jpg, 商务印书馆,1996 ,9787100029827 ,19355 
        滚蛋吧!肿瘤君      ,9.2,14792,https://img9.doubanio.com/view/subject/l/public/s20742806.jpg, 北京理工大学出版社,2012 ,9787564067526 ,16457 
        塔希里亚故事集      ,9.4,4038,https://img1.doubanio.com/view/subject/l/public/s4433958.jpg, 接力出版社,2007 ,9787544800280 ,15840 
        文学回忆录全2册      ,9.2,28582,https://img1.doubanio.com/view/subject/l/public/s24611679.jpg, 广西师范大学出版社,2013 ,9787549530816 ,14971 
        看见      ,8.8,232160,https://img3.doubanio.com/view/subject/l/public/s24468373.jpg, 广西师范大学出版社,2013 ,9787549529322 ,14668 
        鲁迅全集2005最新修订版      ,9.5,4082,https://img3.doubanio.com/view/subject/l/public/s1513604.jpg, 人民文学出版社,2005 ,9787020050338 ,14279 
        塔希里亚故事集Ⅱ      ,9.4,1548,https://img3.doubanio.com/view/subject/l/public/s26829385.jpg, 接力出版社,2008 ,9787544805537 ,14256 
        王小波全集      ,9.4,4540,https://img3.doubanio.com/view/subject/l/public/s3432962.jpg, 云南人民出版社,2006 ,9787222047662 ,13460 
        國史大綱上下      ,9.2,3903,https://img1.doubanio.com/view/subject/l/public/s2161158.jpg, 北京大学出版社,1998 ,9787301037249 ,13204 
        论美国的民主      ,9.2,6174,https://img1.doubanio.com/view/subject/l/public/s26301247.jpg, 商务印书馆,1989 ,9787100011105 ,13201 
        上帝掷骰子吗      ,9.2,17938,https://img3.doubanio.com/view/subject/l/public/s1486674.jpg, 辽宁教育出版社,2006 ,9787538276374 ,12959 
        给青年诗人的信      ,9.1,4805,https://img3.doubanio.com/view/subject/l/public/s1590270.jpg, 上海译文出版社,2005 ,9787532734849 ,12929 
        快乐王子      ,9.2,8907,https://img3.doubanio.com/view/subject/l/public/s2896390.jpg, 上海译文出版社,2007 ,9787532742790 ,11014 
        安徒生童话故事集      ,9.1,30911,https://img1.doubanio.com/view/subject/l/public/s3799757.jpg, 北京十月文艺出版社,2009 ,9787530209554 ,10969 
        平凡的世界全三册      ,9.2,44377,https://img3.doubanio.com/view/subject/l/public/s1066570.jpg, 哈尔滨出版社,2003 ,9787806398791 ,10310 
        飘      ,9.3,130221,https://img1.doubanio.com/view/subject/l/public/s1078958.jpg, 译林出版社,2000 ,9787806570920 ,9731 
        三国演义全二册      ,9.2,98813,https://img3.doubanio.com/view/subject/l/public/s1076932.jpg, 人民文学出版社,1998 ,9787020008728 ,9538 
"
        王尔德童话
      ",9.1,13223,https://img9.doubanio.com/view/subject/l/public/s2019056.jpg, 译林出版社,2003 ,9787805676104 ,8989 
"
        先知
      ",9.1,3977,https://img3.doubanio.com/view/subject/l/public/s6846152.jpg, 天津教育出版社,2007 ,9787530949672 ,8869 
"
        加缪文集
      ",9.2,2016,https://img1.doubanio.com/view/subject/l/public/s2264339.jpg, 译林出版社,1999 ,9787805679273 ,8857 
"
        维特根斯坦传
      ",9.1,5152,https://img9.doubanio.com/view/subject/l/public/s6850776.jpg, 浙江大学出版社,2011 ,9787308086141 ,8828 
"
        社会性动物
      ",9.1,6844,https://img3.doubanio.com/view/subject/l/public/s2783843.jpg, 华东师范大学出版社,2007 ,9787561756638 ,8395 
"
        公正
      ",9.1,5599,https://img1.doubanio.com/view/subject/l/public/s4604609.jpg, 中信出版社,2011 ,9787508625874 ,7851 
"
        设计模式
      ",9.1,2809,https://img3.doubanio.com/view/subject/l/public/s1074361.jpg, 机械工业出版社,2000 ,9787111075752 ,7563 
"
        人生的智慧
      ",9.2,4412,https://img3.doubanio.com/view/subject/l/public/s1332575.jpg, 上海人民出版社,2015 ,9787208055162 ,7497 
"
        什么是数学
      ",9.1,3486,https://img3.doubanio.com/view/subject/l/public/s1802550.jpg, 复旦大学出版社,2005 ,9787309044546 ,7011 
"
        明朝那些事儿1-9
      ",9.1,58066,https://img3.doubanio.com/view/subject/l/public/s3792001.jpg, 中国海关出版社,2009 ,9787801656087 ,6651 
